query,benchmark_milliseconds,cloud_platform
Query 1,201.73860000000002,GCP
Query 2,124.31970000000001,GCP
Query 3,2884.3453,GCP
Query 4,214.3261,GCP
Query 6,29123.08695652174,GCP
Query 6 Index,371,GCP
Query 7,1862.0579,GCP
Query 1,177.5797,AWS
Query 2,174.3017,AWS
Query 3,2390.8154,AWS
Query 4,187.8449,AWS
Query 6,24066.695652173912,AWS
Query 6 Index,510,AWS
Query 7,1457.7445,AWS
Query 1,209.98520000000002,Azure
Query 2,202.27040000000002,Azure
Query 3,3968.0072,Azure
Query 4,230.4786,Azure
Query 6,31812.478260869564,Azure
Query 6 Index,477.1304347826087,Azure
Query 7,1670.4925,Azure
